indian red,#B0171F
crimson,#DC143C
lightpink,#FFB6C1
pink,#FFC0CB
palevioletred,#DB7093
hotpink,#FF69B4
raspberry,#872657
orchid,#DA70D6
thistle,#D8BFD8
thistle 1,#FFE1FF
thistle 2,#EED2EE
thistle 3,#CDB5CD
thistle 4,#8B7B8B
plum 1,#FFBBFF
plum 2,#EEAEEE
plum 3,#CD96CD
plum 4,#8B668B
plum,#DDA0DD
violet,#EE82EE
magenta (fuchsia*),#FF00FF
magenta 2,#EE00EE
magenta 3,#CD00CD
magenta 4 (darkmagenta),#8B008B
purple*,#800080
mediumorchid,#BA55D3
mediumorchid 1,#E066FF
mediumorchid 2,#D15FEE
mediumorchid 3,#B452CD
mediumorchid 4,#7A378B
darkviolet,#9400D3
darkorchid,#9932CC
darkorchid 1,#BF3EFF
darkorchid 2,#B23AEE
darkorchid 3,#9A32CD
darkorchid 4,#68228B
indigo,#4B0082
blueviolet,#8A2BE2
purple 1,#9B30FF
purple 2,#912CEE
purple 3,#7D26CD
purple 4,#551A8B
mediumpurple,#9370DB
mediumpurple 1,#AB82FF
mediumpurple 2,#9F79EE
mediumpurple 3,#8968CD
mediumpurple 4,#5D478B
darkslateblue,#483D8B
lightslateblue,#8470FF
mediumslateblue,#7B68EE
slateblue,#6A5ACD
slateblue 1,#836FFF
slateblue 2,#7A67EE
slateblue 3,#6959CD
slateblue 4,#473C8B
ghostwhite,#F8F8FF
lavender,#E6E6FA
blue*,#0000FF
blue 2,#0000EE
blue 3 (mediumblue),#0000CD
blue 4 (darkblue),#00008B
navy*,#000080
midnightblue,#191970
cobalt,#3D59AB
royalblue,#4169E1
royalblue 1,#4876FF
royalblue 2,#436EEE
royalblue 3,#3A5FCD
royalblue 4,#27408B
cornflowerblue,#6495ED
lightsteelblue,#B0C4DE
lightsteelblue 1,#CAE1FF
lightsteelblue 2,#BCD2EE
lightsteelblue 3,#A2B5CD
lightsteelblue 4,#6E7B8B
lightslategray,#778899
slategray,#708090
slategray 1,#C6E2FF
slategray 2,#B9D3EE
slategray 3,#9FB6CD
slategray 4,#6C7B8B
dodgerblue 1 (dodgerblue),#1E90FF
dodgerblue 2,#1C86EE
dodgerblue 3,#1874CD
dodgerblue 4,#104E8B
aliceblue,#F0F8FF
steelblue,#4682B4
steelblue 1,#63B8FF
steelblue 2,#5CACEE
steelblue 3,#4F94CD
steelblue 4,#36648B
